case,hd95_mm,note
sub-r001s001,8.0,
sub-r001s002,4.242640687119285,
sub-r001s003,93.8669270829721,
sub-r001s004,7.14142842854285,
sub-r001s005,33.075670817082454,
sub-r001s006,39.1279950930277,
sub-r001s007,15.748015748023622,
sub-r001s008,43.669211121796096,
sub-r001s009,14.317821063276353,
sub-r001s010,6.4031242374328485,
sub-r001s011,4.242640687119285,
sub-r001s012,8.602325267042627,
sub-r001s013,40.149719799769464,
sub-r001s014,43.88621651498338,
sub-r001s015,21.0,
sub-r001s016,58.957611891934704,
sub-r001s017,18.466185312619388,
sub-r001s018,73.27346040688948,
sub-r001s019,8.12403840463596,
sub-r001s020,11.0,
sub-r001s021,42.2729227756965,
sub-r001s022,80.0874522007037,
sub-r001s023,80.56674251823763,
sub-r001s024,52.81098370604357,
sub-r001s025,34.713109915419565,
sub-r001s026,3.605551275463989,
sub-r001s027,69.92853494818836,
sub-r001s028,64.68384651518491,
sub-r001s029,5.0,
sub-r001s030,26.19160170741759,
sub-r001s031,18.05547008526779,
sub-r001s032,56.124860801609124,
sub-r001s033,6.48074069840786,
sub-r001s034,34.0147027033899,
sub-r001s036,89.28605714219886,
sub-r001s037,11.874342087037917,
sub-r001s038,78.16009211867653,
sub-r001s039,47.86439177509728,
sub-r002s001,4.0,
sub-r002s002,38.09199390948182,
sub-r002s003,55.44366510251645,
sub-r002s004,2.23606797749979,
sub-r002s005,42.16633728461603,
sub-r002s006,12.649110640673518,
sub-r002s007,6.557438524302,
sub-r002s008,5.0,
sub-r002s009,35.90264614203248,
sub-r002s010,3.7416573867739413,
sub-r002s011,20.688160865577203,
sub-r002s012,16.822603841260722,
sub-r003s001,48.82622246293481,
sub-r003s002,36.565010597564445,
sub-r003s003,3.605551275463989,
sub-r003s004,8.12403840463596,
sub-r003s005,4.0,
sub-r003s006,50.0999001995014,
sub-r003s007,10.198039027185569,
sub-r003s008,5.0,
sub-r003s009,7.14142842854285,
sub-r003s010,70.2993598832877,
sub-r003s011,10.63014581273465,
sub-r003s012,8.246211251235321,
sub-r003s013,80.18728078691782,
sub-r003s014,7.874007874011811,
sub-r003s015,33.18132004607411,
sub-r004s001,2.8284271247461903,
sub-r004s002,17.4928556845359,
sub-r004s003,7.874007874011811,
sub-r004s004,3.0,
sub-r004s005,38.3275357934736,
sub-r004s006,45.0111097397076,
sub-r004s007,9.0,
sub-r004s008,25.0,
sub-r004s009,15.033296378372908,
sub-r004s010,6.164414002968976,
sub-r004s011,5.0990195135927845,
sub-r004s012,12.041594578792296,
sub-r004s013,4.123105625617661,
sub-r004s014,18.138357147217054,
sub-r004s015,8.06225774829855,
sub-r004s016,3.1622776601683795,
sub-r004s017,8.06225774829855,
sub-r004s018,17.97220075561143,
sub-r004s019,8.246211251235321,
sub-r004s020,6.0,
sub-r004s021,22.494443758403985,
sub-r004s022,4.123105625617661,
sub-r004s023,9.9498743710662,
sub-r004s024,27.748873851023216,
sub-r004s025,16.278820596099706,
sub-r004s026,26.851443164195103,
sub-r004s027,7.3484692283495345,
sub-r004s028,8.0,
sub-r004s029,9.0,
sub-r004s030,4.69041575982343,
sub-r004s031,4.69041575982343,
sub-r004s032,6.0,
sub-r004s033,5.0990195135927845,
sub-r004s034,4.123105625617661,
sub-r004s035,3.7416573867739413,
sub-r004s036,30.364452901377952,
sub-r004s037,5.0,
sub-r005s015,9.219544457292887,
sub-r005s026,48.093658625644196,
sub-r005s031,8.0,
sub-r005s045,60.249481325568276,
sub-r005s046,4.47213595499958,
sub-r005s048,82.06095295571457,
sub-r005s049,5.0,
sub-r005s055,54.04627646748664,
sub-r005s058,80.38034585643433,
sub-r005s068,3.605551275463989,
sub-r005s069,43.73785545725808,
sub-r005s070,51.468436929831086,
sub-r005s073,71.16178749862878,
sub-r005s074,3.3166247903554,
sub-r005s075,18.439088914585774,
sub-r005s076,18.788294228055936,
