case,hd95_mm,note
sub-r001s001,7.0,
sub-r001s002,4.242640687119285,
sub-r001s003,46.54030511288038,
sub-r001s004,19.235384061671343,
sub-r001s005,4.0,
sub-r001s006,39.30648801406709,
sub-r001s007,14.866068747318506,
sub-r001s008,21.470910553583888,
sub-r001s009,13.638181696985855,
sub-r001s010,6.782329983125268,
sub-r001s011,3.605551275463989,
sub-r001s012,6.4031242374328485,
sub-r001s013,15.297058540778355,
sub-r001s014,20.445048300260872,
sub-r001s015,31.064449134018133,
sub-r001s016,16.0312195418814,
sub-r001s017,46.62617290749907,
sub-r001s018,100.48382954485761,
sub-r001s019,8.18535277187245,
sub-r001s020,12.083045973594572,
sub-r001s021,30.430248109405877,
sub-r001s022,80.58535847162312,
sub-r001s023,34.307433596816885,
sub-r001s024,51.43928459844674,
sub-r001s025,29.206163733020468,
sub-r001s026,3.3166247903554,
sub-r001s027,41.43669871020132,
sub-r001s028,63.796551630946325,
sub-r001s029,5.916079783099616,
sub-r001s030,14.798648586948742,
sub-r001s031,14.317821063276353,
sub-r001s032,50.60632371551998,
sub-r001s033,5.0990195135927845,
sub-r001s034,16.15549442140351,
sub-r001s036,63.788713735268246,
sub-r001s037,10.954451150103322,
sub-r001s038,74.53187237685633,
sub-r001s039,25.079872407968907,
sub-r002s001,3.1622776601683795,
sub-r002s002,37.376463182061514,
sub-r002s003,55.65069631190611,
sub-r002s004,2.0,
sub-r002s005,1.0,
sub-r002s006,48.92851929090027,
sub-r002s007,3.3166247903554,
sub-r002s008,3.7416573867739413,
sub-r002s009,29.017236257093817,
sub-r002s010,3.0,
sub-r002s011,26.570660511172846,
sub-r002s012,7.3484692283495345,
sub-r003s001,5.744562646538029,
sub-r003s002,36.02776706930364,
sub-r003s003,3.1622776601683795,
sub-r003s004,6.0,
sub-r003s005,3.4641016151377544,
sub-r003s006,11.832159566199232,
sub-r003s007,2.0,
sub-r003s008,5.0,
sub-r003s009,4.0,
sub-r003s010,69.28924880528002,
sub-r003s011,8.0,
sub-r003s012,8.06225774829855,
sub-r003s013,4.0,
sub-r003s014,6.557438524302,
sub-r003s015,31.464265445104548,
sub-r004s001,3.1622776601683795,
sub-r004s002,19.131126469708992,
sub-r004s003,7.211102550927978,
sub-r004s004,3.0,
sub-r004s005,39.01281840626232,
sub-r004s006,51.088159097779204,
sub-r004s007,10.488088481701515,
sub-r004s008,23.600847442411894,
sub-r004s009,47.11687595755899,
sub-r004s010,4.47213595499958,
sub-r004s011,5.0,
sub-r004s012,10.0,
sub-r004s013,3.7416573867739413,
sub-r004s014,2.23606797749979,
sub-r004s015,7.874007874011811,
sub-r004s016,2.449489742783178,
sub-r004s017,27.16615541441225,
sub-r004s018,16.431676725154983,
sub-r004s019,37.17526059088221,
sub-r004s020,5.744562646538029,
sub-r004s021,23.021728866442675,
sub-r004s022,2.23606797749979,
sub-r004s023,14.89966442575134,
sub-r004s024,5.0990195135927845,
sub-r004s025,16.1245154965971,
sub-r004s026,27.586228448267445,
sub-r004s027,6.48074069840786,
sub-r004s028,7.483314773547883,
sub-r004s029,7.0,
sub-r004s030,4.123105625617661,
sub-r004s031,5.0,
sub-r004s032,5.656854249492381,
sub-r004s033,4.0,
sub-r004s034,2.449489742783178,
sub-r004s035,3.0,
sub-r004s036,4.69041575982343,
sub-r004s037,2.449489742783178,
sub-r005s015,8.54400374531753,
sub-r005s026,38.118237105091836,
sub-r005s031,10.099504938362077,
sub-r005s045,10.0,
sub-r005s046,3.3166247903554,
sub-r005s048,59.67411499134277,
sub-r005s049,28.809720581775867,
sub-r005s055,25.099800796022265,
sub-r005s058,2.8284271247461903,
sub-r005s068,3.3166247903554,
sub-r005s069,37.749172176353746,
sub-r005s070,55.53377350765928,
sub-r005s073,1.0,
sub-r005s074,3.0,
sub-r005s075,20.445048300260872,
sub-r005s076,19.1049731745428,
