case,hd95_mm,note
sub-r001s001,7.3484692283495345,
sub-r001s002,4.47213595499958,
sub-r001s003,95.00526301210897,
sub-r001s004,9.0,
sub-r001s005,34.66987164671943,
sub-r001s006,46.74398357008097,
sub-r001s007,18.708286933869708,
sub-r001s008,43.116122274620196,
sub-r001s009,14.866068747318506,
sub-r001s010,7.0710678118654755,
sub-r001s011,6.324555320336759,
sub-r001s012,9.433981132056603,
sub-r001s013,38.897300677553446,
sub-r001s014,38.91015291668744,
sub-r001s015,67.32755750805164,
sub-r001s016,20.0,
sub-r001s017,74.9933330370107,
sub-r001s018,99.81983770774224,
sub-r001s019,7.54983443527075,
sub-r001s020,11.180339887498949,
sub-r001s021,41.060930335295616,
sub-r001s022,80.32434251209281,
sub-r001s023,80.1311425102625,
sub-r001s024,53.14132102234569,
sub-r001s025,38.48376280978771,
sub-r001s026,62.465990746965666,
sub-r001s027,69.0,
sub-r001s028,63.631753079732135,
sub-r001s029,5.830951894845301,
sub-r001s030,33.97057550292606,
sub-r001s031,14.035668847618199,
sub-r001s032,55.89275444992848,
sub-r001s033,6.0,
sub-r001s034,19.949937343260004,
sub-r001s036,52.20153254455275,
sub-r001s037,13.038404810405298,
sub-r001s038,77.42092740338364,
sub-r001s039,47.391982444291145,
sub-r002s001,27.51363298439521,
sub-r002s002,37.376463182061514,
sub-r002s003,58.9915248150105,
sub-r002s004,22.825424421026653,
sub-r002s005,21.213203435596427,
sub-r002s006,34.539832078341085,
sub-r002s007,8.366600265340756,
sub-r002s008,5.656854249492381,
sub-r002s009,36.51027252705737,
sub-r002s010,2.8284271247461903,
sub-r002s011,26.795522013948524,
sub-r002s012,22.67156809750927,
sub-r003s001,65.68865959965997,
sub-r003s002,37.21558813185679,
sub-r003s003,3.605551275463989,
sub-r003s004,9.433981132056603,
sub-r003s005,5.0,
sub-r003s006,51.19570294468082,
sub-r003s007,8.366600265340756,
sub-r003s008,6.0,
sub-r003s009,5.385164807134504,
sub-r003s010,70.68946173228369,
sub-r003s011,7.810249675906654,
sub-r003s012,9.219544457292887,
sub-r003s013,76.11832893594026,
sub-r003s014,9.273618495495704,
sub-r003s015,35.25620512760839,
sub-r004s001,2.8284271247461903,
sub-r004s002,16.492422502470642,
sub-r004s003,11.704699910719626,
sub-r004s004,3.0,
sub-r004s005,37.027017163147235,
sub-r004s006,21.840329667841555,
sub-r004s007,17.578395831246947,
sub-r004s008,24.71841418861655,
sub-r004s009,7.280109889280518,
sub-r004s010,8.774964387392123,
sub-r004s011,5.0,
sub-r004s012,11.661903789690601,
sub-r004s013,4.898979485566356,
sub-r004s014,7.681145747868608,
sub-r004s015,9.0,
sub-r004s016,5.385164807134504,
sub-r004s017,25.37715508089904,
sub-r004s018,15.620499351813308,
sub-r004s019,6.928203230275509,
sub-r004s020,7.0,
sub-r004s021,22.737634001804146,
sub-r004s022,3.7416573867739413,
sub-r004s023,9.38083151964686,
sub-r004s024,8.12403840463596,
sub-r004s025,16.401219466856727,
sub-r004s026,27.313000567495326,
sub-r004s027,8.06225774829855,
sub-r004s028,7.211102550927978,
sub-r004s029,6.0,
sub-r004s030,5.385164807134504,
sub-r004s031,3.605551275463989,
sub-r004s032,6.4031242374328485,
sub-r004s033,5.196152422706632,
sub-r004s034,5.0,
sub-r004s035,4.58257569495584,
sub-r004s036,6.708203932499369,
sub-r004s037,5.0990195135927845,
sub-r005s015,9.1104335791443,
sub-r005s026,50.6458290484024,
sub-r005s031,7.3484692283495345,
sub-r005s045,64.5445582524197,
sub-r005s046,5.196152422706632,
sub-r005s048,81.16033513977132,
sub-r005s049,27.184554438136374,
sub-r005s055,46.411205543489174,
sub-r005s058,47.81213235152768,
sub-r005s068,4.0,
sub-r005s069,43.22036556994862,
sub-r005s070,54.644304369257,
sub-r005s073,76.02631123499285,
sub-r005s074,3.3166247903554,
sub-r005s075,22.20360331117452,
sub-r005s076,50.80354318352215,
sub-r005s077,48.176757881783615,
sub-r005s081,35.4400902933387,
sub-r009s001,87.69834662067467,
sub-r009s002,85.54530963179688,
sub-r009s003,12.0,
sub-r009s004,8.246211251235321,
sub-r009s005,53.842362503887216,
sub-r009s006,43.965895873961216,
sub-r009s007,6.6332495807108,
sub-r009s008,25.179356624028344,
sub-r009s009,51.633322573702344,
sub-r009s010,115.58979193683152,
sub-r009s011,63.56886030125127,
sub-r009s012,96.74709297958259,
sub-r009s013,71.09149034870488,
sub-r009s014,72.77362159464101,
sub-r009s015,48.19751030914356,
sub-r009s016,90.033327162779,
sub-r009s017,57.113921245174545,
sub-r009s018,64.63745044476924,
sub-r009s020,72.3671196055225,
sub-r009s021,52.04805471869242,
sub-r009s022,14.035668847618199,
sub-r009s024,46.9148164229596,
sub-r009s025,60.489668539346454,
sub-r009s026,84.26743143112884,
sub-r009s027,76.81796664843453,
sub-r009s028,124.59935794377112,
sub-r009s029,92.88164511893618,
sub-r009s030,92.98386956886662,
sub-r009s031,62.64982043070834,
sub-r009s032,40.47221268969612,
sub-r009s034,58.26662852782886,
sub-r009s035,78.39642849007855,
sub-r009s036,104.46530524533014,
sub-r009s037,49.8998997994986,
sub-r009s038,73.21885003194191,
sub-r009s039,84.33860326090301,
sub-r009s040,68.18357573492314,
sub-r009s041,88.28363381737297,
sub-r009s043,46.71188285650665,
sub-r009s044,46.08687448721165,
sub-r009s045,60.81118318204309,
sub-r009s046,41.737273509418415,
sub-r009s048,56.621550667568265,
sub-r009s049,46.184412955021955,
sub-r009s050,62.24949798994366,
sub-r009s051,46.07602413403309,
sub-r009s052,14.035668847618199,
sub-r009s053,60.778285596090974,
sub-r009s054,57.0701322935211,
sub-r009s055,42.49705872175156,
sub-r009s056,72.70488291717415,
sub-r009s057,46.93612681080534,
sub-r009s058,59.76621118993574,
sub-r009s060,56.124860801609124,
sub-r009s061,54.08326913195984,
sub-r009s062,92.70922284217467,
sub-r009s063,58.05170109479997,
sub-r009s064,39.21734310225516,
sub-r009s065,61.02458520956943,
sub-r009s066,75.2994023880668,
sub-r009s067,55.767373974394744,
sub-r009s071,74.14175611623992,
sub-r009s072,51.03920062069938,
sub-r009s073,73.49149610669251,
sub-r009s074,94.29209935090002,
sub-r009s075,68.27151675479314,
sub-r009s076,86.00581375697809,
sub-r009s077,67.89698078707183,
sub-r009s078,55.00909015790027,
sub-r009s079,78.00640999302557,
sub-r009s082,60.83584469702052,
sub-r009s083,5.385164807134504,
sub-r009s084,60.108235708594876,
sub-r009s085,76.75285010994706,
sub-r009s086,78.57480512225277,
sub-r009s087,50.57667446560717,
sub-r009s088,38.742741255621034,
sub-r009s089,5.0990195135927845,
sub-r009s090,66.70832032063167,
sub-r009s091,55.44366510251645,
sub-r009s092,56.95612346359257,
sub-r009s093,62.0644825967316,
sub-r009s094,39.153543900903784,
sub-r009s095,93.81364506296512,
sub-r009s096,41.02438299353203,
sub-r009s097,70.28513356322232,
sub-r009s098,24.515301344262525,
sub-r009s099,45.18849411078001,
sub-r009s100,68.8839603971781,
sub-r009s102,51.96152422706632,
sub-r009s103,36.78314831549904,
sub-r009s105,39.02563260217571,
sub-r009s106,82.35289915965315,
sub-r009s107,77.25930364687478,
sub-r009s108,5.0990195135927845,
sub-r009s109,10.723805294763608,
